Split,Model Group,Model,stock_id,n_rows,RMSE,RMSPE,QLIKE
Seen test,Normal Long,RF Long,18,5750,0.001246086775144608,33.01822838988052,0.47567664612217414
Seen test,Normal Long,RF Long,19,5750,0.00040501572008210863,5.9603405794002144,0.2303557180999053
Seen test,Normal Long,RF Long,20,5750,0.00029523006437871927,1.4151060327222889,0.09506159303731308
Seen test,Normal Long,RF Long,27,5750,0.0009833850129850263,23.281823669172763,0.3656737655822829
Seen test,Normal Long,RF Long,29,5750,0.0001653159510131328,0.9716338260624118,0.11036250418826976
Seen test,Normal Long,RF Long,37,5750,0.000990582144978998,28.766954232856857,0.49667406719709056
Seen test,Normal Long,RF Long,43,5750,0.0001872908192534062,1.6202127830789885,0.20400151773398156
Seen test,Normal Long,RF Long,44,5750,0.00027250868413304516,1.0182433893519438,0.08142397204723137
Seen test,Normal Long,RF Long,46,5750,0.0002134607904289677,2.278829924157961,0.18828404139114793
Seen test,Normal Long,RF Long,51,5750,0.0002757487926131344,2.562696415329807,0.11632166892665749
Seen test,Normal Long,RF Long,61,5750,0.00028371045636573796,0.46760729091539843,0.06753681285409593
Seen test,Normal Long,RF Long,62,5750,0.0006322629894092481,5.914343882899561,0.1507559468989214
Seen test,Normal Long,RF Long,63,5750,0.000308830011716352,1.7211820678852545,0.10950384923870218
Seen test,Normal Long,RF Long,64,5750,0.00023780945931998432,1.6660480786603777,0.11495567879801945
Seen test,Normal Long,RF Long,68,5750,0.0004286444627867172,2.5012039317244152,0.13234884258887392
Seen test,Normal Long,RF Long,69,5750,0.00018628376428728142,0.6578894284511436,0.07819439158216707
Seen test,Normal Long,RF Long,70,5750,0.0003482287867550562,4.123428480831958,0.19366231774633003
Seen test,Normal Long,RF Long,72,5750,0.0004527892739981991,7.852291331152519,0.19942310681981223
Seen test,Normal Long,RF Long,75,5750,0.0010351719312779314,24.13738994035805,0.3446307088507383
Seen test,Normal Long,RF Long,77,5750,0.00030920467784869,1.5372981479751575,0.09678659778589613
Seen test,Normal Long,RF Long,78,5750,0.0005366317714263498,7.598324174429188,0.17097474442983035
Seen test,Normal Long,RF Long,80,5750,0.0008106742260037898,9.217004130673685,0.16444928218477722
Seen test,Normal Long,RF Long,82,5750,0.00045423078492875965,8.640365356816275,0.22625235704455499
Seen test,Normal Long,RF Long,83,5750,0.0006576826972045117,13.242778465699041,0.2678616604361577
Seen test,Normal Long,RF Long,90,5750,0.0007013956140871775,10.928825702156963,0.2635555348796172
Seen test,Normal Long,RF Long,98,5750,0.0007362264100561873,18.0340504769947,0.3893528456585573
Seen test,Normal Long,RF Long,100,5750,0.0005621246550940367,3.598663736035122,0.13917889538420006
Seen test,Normal Long,RF Long,102,5750,0.0005533029148174469,6.26980475505108,0.18351095827841346
Seen test,Normal Long,RF Long,103,5750,0.0008455458105792448,17.60388662556719,0.31128634204511635
Seen test,Normal Long,RF Long,104,5750,0.0004196643292257475,5.583470289672656,0.19892203903108946
Seen test,Normal Long,RF Long,115,5750,0.00035517669645604004,5.384024627400441,0.2196836952484486
Seen test,Normal Long,RF Long,118,5750,0.0006173546143329247,7.201542513295694,0.18879159709143437
Seen test,Normal Long,RF Long,120,5750,0.00026273614615383845,1.5137602223041922,0.10142298327572842
Seen test,Normal Long,RF Long,126,5750,0.0006452858120825191,9.444600241957604,0.21110165518017698
Seen test,Normal Long,MLP Long,5,5750,0.0006703750229834522,13.67103850538559,0.2862508669848613
Seen test,Normal Long,MLP Long,7,5750,0.0003786963676676476,6.294474411301517,0.20830992332199638
Seen test,Normal Long,MLP Long,10,5750,0.00029779712660561784,1.17205685395092,0.06596379857466303
Seen test,Normal Long,MLP Long,13,5750,0.00023665507677887712,1.945141882212681,0.13768977929605605
Seen test,Normal Long,MLP Long,14,5750,0.00023926831885107684,0.4908532185312045,0.05238558403506348
Seen test,Normal Long,MLP Long,16,5750,0.0006394715717558736,16.47150254398675,0.32892469453205303
Seen test,Normal Long,MLP Long,18,5750,0.0012485740004382433,33.52675780711973,0.4755951557362609
Seen test,Normal Long,MLP Long,19,5750,0.00039736235042723146,5.319224450185166,0.20327598579574782
Seen test,Normal Long,MLP Long,20,5750,0.00028664650089462725,1.1978386620480386,0.0777094092619301
Seen test,Normal Long,MLP Long,27,5750,0.0009963762986966974,24.263571406685664,0.36640217001252495
Seen test,Normal Long,MLP Long,29,5750,0.0001229517552999681,0.34135313301870185,0.03703640787225843
Seen test,Normal Long,MLP Long,37,5750,0.000991802678675842,28.58385244141391,0.4937501987470871
Seen test,Normal Long,MLP Long,43,5750,0.00011555342629876579,0.5072660017623741,0.05791465040507303
Seen test,Normal Long,MLP Long,44,5750,0.0002776483293436561,0.8406784792622923,0.0685311570166888
Seen test,Normal Long,MLP Long,46,5750,0.00018408633351377446,1.3826814763585484,0.13116401726285687
Seen test,Normal Long,MLP Long,51,5750,0.00026321963829426215,2.384587080609821,0.09244321106883772
Seen test,Normal Long,MLP Long,61,5750,0.0002758707020391134,0.49363074940391405,0.055297384952284354
Seen test,Normal Long,MLP Long,62,5750,0.000630158943826506,6.042908871214846,0.14816793002943474
Seen test,Normal Long,MLP Long,63,5750,0.00030862608233724666,1.5801694679572968,0.09536766174680517
Seen test,Normal Long,MLP Long,64,5750,0.00022098075574409576,1.199739323200894,0.08465209214370706
Seen test,Normal Long,MLP Long,68,5750,0.00043683304581305834,2.271404975804368,0.11585000658352008
Seen test,Normal Long,MLP Long,69,5750,0.00017113454159648622,0.360282742258337,0.04316444633702495
Seen test,Normal Long,MLP Long,70,5750,0.0003389685704948863,3.5194100566909117,0.16555257139523596
Seen test,Normal Long,MLP Long,72,5750,0.0004544378021237383,7.8066825350871625,0.18106297754785106
Seen test,Normal Long,MLP Long,75,5750,0.001037103447208416,24.192279818118497,0.3448645277062695
Seen test,Normal Long,MLP Long,77,5750,0.0003149497802849479,1.225819674723866,0.07679819037172189
Seen test,Normal Long,MLP Long,78,5750,0.0005389937028986814,7.556391430184045,0.16719189230816187
Seen test,Normal Long,MLP Long,80,5750,0.0008231641011634815,9.170318440743173,0.16304803018633143
Seen test,Normal Long,MLP Long,82,5750,0.0004522347917699724,8.57821400501823,0.21206566383506553
Seen test,Normal Long,MLP Long,83,5750,0.0006671952521637107,13.258783022749546,0.26183935366865746
Seen test,Normal Long,MLP Long,90,5750,0.000703556024991502,10.723445054731869,0.26309013092816813
Seen test,Normal Long,MLP Long,98,5750,0.0007343218993999465,18.156017623349484,0.38169743767845365
Seen test,Normal Long,MLP Long,100,5750,0.0005601516353985408,3.563692691223872,0.12936887528345162
Seen test,Normal Long,MLP Long,102,5750,0.0005506011975068944,6.233490884439881,0.17791200501019483
Seen test,Normal Long,MLP Long,103,5750,0.0008427556420637437,18.22700003633136,0.3085781007761973
Seen test,Normal Long,MLP Long,104,5750,0.00041866874458653297,5.051068685317869,0.1784227010097663
Seen test,Normal Long,MLP Long,115,5750,0.0003482184938247875,4.822460481412414,0.19491820530568033
Seen test,Normal Long,MLP Long,118,5750,0.0006156992696450391,7.303471088481511,0.18569403236171042
Seen test,Normal Long,MLP Long,120,5750,0.00025230968256913455,1.1422024329227911,0.08265504392778827
Seen test,Normal Long,MLP Long,126,5750,0.0006493730391541833,9.28770515499374,0.20774521261368337
Seen test,Normal Long,HAR-RV,5,5750,0.0006750682976508556,12.669100268206515,0.2903304257340182
Seen test,Normal Long,HAR-RV,7,5750,0.0003790191862722743,6.017218094459841,0.20661894544387688
Seen test,Normal Long,HAR-RV,10,5750,0.00029171291336240374,1.2179711499610888,0.06464509143809741
Seen test,Normal Long,HAR-RV,13,5750,0.0002332236048909173,1.7913032694797946,0.1351643107370858
Seen test,Normal Long,HAR-RV,14,5750,0.00025357323244332245,0.5406214834698383,0.050845542114351744
Seen test,Normal Long,HAR-RV,16,5750,0.0006247665992561169,15.029372298329957,0.3292521501366476
Seen test,Normal Long,HAR-RV,18,5750,0.0012647014298259713,29.915622774648757,0.4893589983072914
Seen test,Normal Long,HAR-RV,19,5750,0.0004038533374914493,4.9406337822598685,0.20302463144193783
Seen test,Normal Long,HAR-RV,20,5750,0.00028683029194492317,1.193984191980871,0.07840101471441252
Seen test,Normal Long,HAR-RV,27,5750,0.0009988878068458277,22.653455917286756,0.37376384290788645
Seen test,Normal Long,HAR-RV,29,5750,0.00011278407796344092,0.41334044483290944,0.04161972355576002
Seen test,Normal Long,HAR-RV,37,5750,0.0009963221608482343,25.431944346642016,0.5019630479182641
Seen test,Normal Long,HAR-RV,43,5750,0.00010751845206109575,0.5902297133946375,0.06741567054933506
Seen test,Normal Long,HAR-RV,44,5750,0.0002587525610412909,0.8676957297225015,0.06476628908469405
Seen test,Normal Long,HAR-RV,46,5750,0.00018021822327188617,1.3966403149438684,0.1271506310558444
Seen test,Normal Long,HAR-RV,51,5750,0.00026201193456604785,2.3866841854607994,0.0930250892081504
Seen test,Normal Long,HAR-RV,61,5750,0.00026740009949897784,0.5256671045353144,0.05370259853367867
Seen test,Normal Long,HAR-RV,62,5750,0.000632509577711727,5.8746228298435605,0.14937533433808467
Seen test,Normal Long,HAR-RV,63,5750,0.0002950010348300329,1.6863583822410242,0.09189835624488958
Seen test,Normal Long,HAR-RV,64,5750,0.0002213682659448295,1.2637084411623565,0.08614000604404982
Seen test,Normal Long,HAR-RV,68,5750,0.0004177098064634926,2.227177437154227,0.11644527956398622
Seen test,Normal Long,HAR-RV,69,5750,0.0001571428804012543,0.42652380487851566,0.04308024863107768
Seen test,Normal Long,HAR-RV,70,5750,0.0003368106420009097,3.3585644850500054,0.1641494120897502
Seen test,Normal Long,HAR-RV,72,5750,0.00044847220385222725,7.1726113035423005,0.1822398767692018
Seen test,Normal Long,HAR-RV,75,5750,0.001050127087912294,21.858041470802725,0.3524039842106507
Seen test,Normal Long,HAR-RV,77,5750,0.00029379241953774647,1.2567338047618066,0.07356749655282865
Seen test,Normal Long,HAR-RV,78,5750,0.000541930091869849,6.543807719133154,0.16911612572599
Seen test,Normal Long,HAR-RV,80,5750,0.0008034940733048967,7.706271234111407,0.1602983777497268
Seen test,Normal Long,HAR-RV,82,5750,0.000451411948323355,7.883717719030616,0.21449490452470207
Seen test,Normal Long,HAR-RV,83,5750,0.0006677205548473388,11.931189936012771,0.26338779709615895
Seen test,Normal Long,HAR-RV,90,5750,0.0007090120434180474,10.180324777122015,0.26676761955292994
Seen test,Normal Long,HAR-RV,98,5750,0.0007343407605981774,16.437371802025783,0.3848913513455182
Seen test,Normal Long,HAR-RV,100,5750,0.0005617591063060474,3.4728147201777757,0.1286525454969679
Seen test,Normal Long,HAR-RV,102,5750,0.000558174456731112,6.268117964869436,0.17969049266196624
Seen test,Normal Long,HAR-RV,103,5750,0.0008592504381786137,16.60113707518614,0.3120592161253302
Seen test,Normal Long,HAR-RV,104,5750,0.0004151077059946785,4.834752010397173,0.17810887096496933
Seen test,Normal Long,HAR-RV,115,5750,0.0003467687146662598,4.657743398559607,0.19488083670177705
Seen test,Normal Long,HAR-RV,118,5750,0.0006235584269387755,7.2502365746060065,0.18788367624590296
Seen test,Normal Long,HAR-RV,120,5750,0.000248614148830868,1.1528335376540373,0.08254564460465925
Seen test,Normal Long,HAR-RV,126,5750,0.0006581285339884191,8.87265142236781,0.2105189891634728
Seen test,Weighted Long,WLR Long,5,5750,0.0006699836373583075,13.112503619673843,0.28629328500696966
Seen test,Weighted Long,WLR Long,7,5750,0.0003749445761036117,6.073716991839918,0.20498220122845195
Seen test,Weighted Long,WLR Long,10,5750,0.00028773387347469224,1.2038831819119453,0.06383362751357671
Seen test,Weighted Long,WLR Long,13,5750,0.00023183800657230083,1.8419866428722738,0.1349768028571707
Seen test,Weighted Long,WLR Long,14,5750,0.00023978668616625513,0.5107625618159656,0.04999946387346432
Seen test,Weighted Long,WLR Long,16,5750,0.0006249331135048961,15.297234877290155,0.3263700494403998
Seen test,Weighted Long,WLR Long,18,5750,0.001245957934949158,31.459824194170597,0.47700022288103056
Seen test,Weighted Long,WLR Long,19,5750,0.000396672320519349,5.149067211752755,0.20110401843764233
Seen test,Weighted Long,WLR Long,20,5750,0.0002840960826609697,1.1955308877650315,0.07708758341561286
Seen test,Weighted Long,WLR Long,27,5750,0.0009884010574917714,22.121947797898063,0.36555185460478035
Seen test,Weighted Long,WLR Long,29,5750,0.00011360071122821934,0.36966792217189576,0.03696963755184911
Seen test,Weighted Long,WLR Long,37,5750,0.0009848476289066458,26.505375770313794,0.49229356593315565
Seen test,Weighted Long,WLR Long,43,5750,0.00010697512191204017,0.5363327039742595,0.05887355330653704
Seen test,Weighted Long,WLR Long,44,5750,0.0002603996465931125,0.8722969924211196,0.06488125679298054
Seen test,Weighted Long,WLR Long,46,5750,0.00018084747958653638,1.371382064349974,0.12712922732384116
Seen test,Weighted Long,WLR Long,51,5750,0.00026023808519866213,2.33136756476011,0.09160707452902067
Seen test,Weighted Long,WLR Long,61,5750,0.00026744225161551554,0.501164705023005,0.05331315819637059
Seen test,Weighted Long,WLR Long,62,5750,0.0006272862426014831,5.870617999201056,0.14748152293012648
Seen test,Weighted Long,WLR Long,63,5750,0.00029877977139951446,1.6175388924969185,0.09177916671455434
Seen test,Weighted Long,WLR Long,64,5750,0.00021653344941438123,1.2219294832852055,0.08392554540302952
Seen test,Weighted Long,WLR Long,68,5750,0.0004137021207679847,2.290107715447708,0.11490927974676513
Seen test,Weighted Long,WLR Long,69,5750,0.00015904990127754592,0.39038998152181065,0.0408078510646646
Seen test,Weighted Long,WLR Long,70,5750,0.0003333055262582346,3.358301947380952,0.16321781178867265
Seen test,Weighted Long,WLR Long,72,5750,0.00044297335324503217,7.312093159312348,0.17996129414216896
Seen test,Weighted Long,WLR Long,75,5750,0.0010426655180503675,23.490229599535894,0.34613777799971196
Seen test,Weighted Long,WLR Long,77,5750,0.0002909982344910855,1.2157622211172707,0.07405410632843687
Seen test,Weighted Long,WLR Long,78,5750,0.0005348845313312722,7.356280581707502,0.16640698180510022
Seen test,Weighted Long,WLR Long,80,5750,0.0008019657693643863,8.149402302802253,0.1582047020445711
Seen test,Weighted Long,WLR Long,82,5750,0.0004479335132204215,8.20572829964969,0.21169669722244408
Seen test,Weighted Long,WLR Long,83,5750,0.0006620011306168816,12.649053212297408,0.2607592892825038
Seen test,Weighted Long,WLR Long,90,5750,0.0007005362197893148,10.229599295628033,0.262781396119352
Seen test,Weighted Long,WLR Long,98,5750,0.0007227367919762117,16.721093117885328,0.3795267510522388
Seen test,Weighted Long,WLR Long,100,5750,0.0005598810421147151,3.4847240125927965,0.12763568793340466
Seen test,Weighted Long,WLR Long,102,5750,0.0005495669990040003,6.158633401281856,0.17776794484071262
Seen test,Weighted Long,WLR Long,103,5750,0.0008498256885663117,17.116024826590028,0.308466748279161
Seen test,Weighted Long,WLR Long,104,5750,0.0004145670863967752,4.941521973396754,0.17718336564054438
Seen test,Weighted Long,WLR Long,115,5750,0.00034316256474741874,4.744082060098039,0.19363499359290615
Seen test,Weighted Long,WLR Long,118,5750,0.0006158213365457567,7.150603941526619,0.18572535673902657
Seen test,Weighted Long,WLR Long,120,5750,0.00024468854643444756,1.14801474906617,0.08050569063206912
Seen test,Weighted Long,WLR Long,126,5750,0.0006464631983972699,9.058606805072767,0.20698486751463505
Seen test,Weighted Long,WXGB Long,5,5750,0.0006656187778402844,13.057633551548065,0.28495347334126503
